Issue Type,Summary,Description,Epic Link,Story Points,Priority,Labels
Epic,Infrastructure Foundation,"Set up AWS infrastructure foundation including VPC, security, storage, and secrets management",,13,High,mvp sprint-1
Story,Set up project repository structure,"Create datatorag-mvp repository with proper project structure:
- /infrastructure/cloudformation/
- /etl/ (ingestion, processor, embedder, indexer)
- /sagemaker/models/
- /api/
- /tests/
- /docs/
Configure .gitignore, README, branch protection",DATATORAG-1,2,High,mvp sprint-1
Story,Create network CloudFormation stack,"Create 01-network-stack.yaml with:
- VPC (10.0.0.0/16)
- 2 public subnets (10.0.1.0/24, 10.0.2.0/24)
- 2 private subnets (10.0.10.0/24, 10.0.11.0/24)
- Internet Gateway
- NAT Gateway
- Route tables
- VPC endpoints (S3, SageMaker, OpenSearch, Secrets Manager)",DATATORAG-1,3,High,mvp sprint-1 infrastructure
Story,Create security CloudFormation stack,"Create 02-security-stack.yaml with:
- IAM roles (Lambda, ECS, SageMaker, OpenSearch)
- Security groups (Lambda, ECS, OpenSearch, SageMaker)
- IAM policies (S3, SageMaker invoke, OpenSearch, Secrets Manager, CloudWatch)",DATATORAG-1,3,High,mvp sprint-1 infrastructure
Story,Create storage CloudFormation stack,"Create 03-storage-stack.yaml with:
- S3 buckets (raw-docs, processed, embeddings-cache, sagemaker-models)
- Versioning enabled
- Encryption at rest (SSE-S3)
- Lifecycle policies
- Event notifications to SQS",DATATORAG-1,2,High,mvp sprint-1 infrastructure
Story,Create secrets CloudFormation stack,"Create 04-secrets-stack.yaml with:
- Secrets Manager secrets (FTP, Workday API, Rippling API, OpenSearch master user)
- Systems Manager parameters (chunk-size, chunk-overlap, embedding-dimension)",DATATORAG-1,1,High,mvp sprint-1 infrastructure
Story,Set up CI/CD pipeline,"Configure CI/CD (GitHub Actions or GitLab CI):
- CloudFormation deployment workflow
- Environments (dev, staging, prod)
- AWS credentials via OIDC
- Deployment approvals for production
- Test with hello-world stack",DATATORAG-1,2,High,mvp sprint-1 devops
Story,Configure CloudWatch dashboards and basic monitoring,"Set up CloudWatch:
- Log groups for all services
- Basic dashboard (VPC, S3, IAM status)
- Billing alarms ($1000/month threshold)
- CloudTrail enabled for audit logging",DATATORAG-1,1,Medium,mvp sprint-1 monitoring
Epic,OpenSearch & SageMaker,"Deploy OpenSearch cluster with vector search and SageMaker endpoint for embeddings",,13,High,mvp sprint-2
Story,Deploy OpenSearch cluster via CloudFormation,"Create 05-opensearch-stack.yaml:
- Domain: datatorag-opensearch-prod
- Version: OpenSearch 2.11+
- Instance: r6g.large.search x 2
- EBS: 100GB gp3 per node
- VPC deployment (private subnets)
- Fine-grained access control
- k-NN plugin enabled",DATATORAG-2,3,High,mvp sprint-2 infrastructure
Story,Create index templates with vector field configuration,"Create OpenSearch index template for hr-documents:
- Vector field (dimension: 768, HNSW, cosine similarity)
- Text fields (title, content, chunk_text)
- Metadata fields (customer_id, file_name, source)
- k-NN settings (ef_construction: 128, m: 16)",DATATORAG-2,2,High,mvp sprint-2 data
Story,Test k-NN vector operations manually,"Manual testing:
- Index 10K sample vectors
- Test vector search queries
- Measure query latency (target: <200ms)
- Tune k-NN parameters if needed",DATATORAG-2,2,Medium,mvp sprint-2 testing
Story,Prepare Gemma model for SageMaker deployment,"Download and prepare google/gemma-2-300m:
- Test model locally with HuggingFace Transformers
- Verify embedding dimension (768)
- Test embedding quality on sample HR text
- Package model artifacts
- Upload to S3 model bucket",DATATORAG-2,3,High,mvp sprint-2 ml
Story,Create custom inference script for embeddings,"Create sagemaker/models/gemma-embeddings/inference.py:
- model_fn: Load Gemma model
- input_fn: Parse JSON input
- predict_fn: Generate embeddings with mean pooling
- output_fn: Return normalized embeddings
Add requirements.txt",DATATORAG-2,2,High,mvp sprint-2 ml
Story,Deploy SageMaker endpoint via CloudFormation,"Create 06-sagemaker-stack.yaml:
- Model: gemma-embeddings-300m
- Endpoint: datatorag-gemma-embeddings-prod
- Instance: ml.g5.xlarge
- Auto-scaling (min: 1, max: 3)
- HuggingFace DLC container",DATATORAG-2,2,High,mvp sprint-2 infrastructure
Story,Test embedding generation end-to-end,"End-to-end testing:
- Invoke SageMaker endpoint with sample text
- Verify embedding output (768-dim vector)
- Measure latency (target: <2s per batch of 32)
- Test auto-scaling behavior",DATATORAG-2,2,Medium,mvp sprint-2 testing
Story,Configure auto-scaling for SageMaker endpoint,"Configure SageMaker auto-scaling:
- Target: 1000 invocations per minute
- Scale-out cooldown: 60s
- Scale-in cooldown: 300s
- Test with load",DATATORAG-2,1,Medium,mvp sprint-2 infrastructure
Story,Set up monitoring/alarms for OpenSearch and SageMaker,"CloudWatch alarms:
- OpenSearch: ClusterStatus.red, FreeStorageSpace, CPUUtilization, JVMMemoryPressure
- SageMaker: ModelLatency, Invocation4XXErrors, Invocation5XXErrors
- Dashboard with key metrics",DATATORAG-2,1,Medium,mvp sprint-2 monitoring
Epic,Document Ingestion,"Build document ingestion service to fetch documents from FTP and APIs",,8,High,mvp sprint-3
Story,Build FTP client module,"Create etl/ingestion/lambda/ftp_client.py:
- FTPClient class
- Connect to FTP server
- List files in directory
- Download files
- Error handling and retry logic",DATATORAG-3,2,High,mvp sprint-3 etl
Story,Build Workday API client,"Create etl/ingestion/lambda/api_clients.py (WorkdayClient):
- Authenticate with Workday API
- Fetch HR documents
- Handle pagination
- Error handling and rate limiting",DATATORAG-3,2,High,mvp sprint-3 etl integration
Story,Build Rippling API client,"Add RipplingClient to api_clients.py:
- Authenticate with Rippling API
- Fetch HR documents
- Handle pagination
- Error handling and rate limiting",DATATORAG-3,2,High,mvp sprint-3 etl integration
Story,Implement document ingester Lambda,"Create etl/ingestion/lambda/handler.py:
- Lambda handler function
- Fetch credentials from Secrets Manager
- Call FTP/Workday/Rippling clients based on config
- Upload documents to S3 raw bucket with metadata
- CloudFormation template (07-etl-lambda-stack.yaml partial)",DATATORAG-3,3,High,mvp sprint-3 etl
Story,Create SQS queues via CloudFormation,"Create 09-etl-queue-stack.yaml:
- processing-queue (S3 → ECS)
- embedding-queue (ECS → Lambda)
- indexing-queue (Lambda → Lambda)
- Dead letter queues for each
- Visibility timeouts and retention",DATATORAG-3,2,High,mvp sprint-3 infrastructure
Story,Test ingestion from FTP to S3,"Integration test:
- Set up test FTP server with sample PDFs
- Configure ingester Lambda
- Trigger ingestion
- Verify files uploaded to S3 with correct metadata",DATATORAG-3,1,Medium,mvp sprint-3 testing
Story,Test ingestion from APIs to S3,"Integration test:
- Configure Workday/Rippling test credentials
- Trigger API ingestion
- Verify documents uploaded to S3
- Test error handling (rate limits, auth failures)",DATATORAG-3,1,Medium,mvp sprint-3 testing
Epic,Document Processing,"Build PDF processing pipeline to extract, clean, and chunk document text",,10,High,mvp sprint-3
Story,Build PDF parser module,"Create etl/processor/ecs/pdf_parser.py:
- PDFParser class using PyPDF2
- Extract text from PDF bytes
- Handle multi-page documents
- Basic error handling for corrupted PDFs",DATATORAG-4,2,High,mvp sprint-3 etl
Story,Build text cleaner module,"Create etl/processor/ecs/text_cleaner.py:
- TextCleaner class
- Remove extra whitespace
- Remove special characters
- Filter headers/footers
- Normalize text",DATATORAG-4,2,High,mvp sprint-3 etl
Story,Build text chunker module,"Create etl/processor/ecs/chunker.py:
- TextChunker class using LangChain RecursiveCharacterTextSplitter
- Chunk size: 512 tokens
- Overlap: 50 tokens
- Preserve sentence boundaries",DATATORAG-4,2,High,mvp sprint-3 etl
Story,Create ECS task definition and Dockerfile,"Create etl/processor/ecs/:
- Dockerfile (Python 3.11-slim base)
- main.py (poll SQS, process documents, send to embedding queue)
- requirements.txt (PyPDF2, langchain, boto3)
- CloudFormation: 08-etl-ecs-stack.yaml (cluster, task definition, Fargate)",DATATORAG-4,3,High,mvp sprint-3 infrastructure
Story,Deploy processor ECS service via CloudFormation,"Deploy ECS service:
- Fargate launch type
- 2 vCPU, 4GB memory
- Auto-scaling (min: 1, max: 3)
- CloudWatch logs integration",DATATORAG-4,2,High,mvp sprint-3 infrastructure
Story,Wire S3 event → SQS → ECS trigger,"Configure event pipeline:
- S3 bucket event notification (ObjectCreated) → processing-queue
- ECS task polls processing-queue
- Lambda or EventBridge to trigger ECS task when queue has messages",DATATORAG-4,2,Medium,mvp sprint-3 infrastructure
Story,Test end-to-end PDF processing with sample docs,"Integration test:
- Upload sample HR PDFs to S3 raw bucket
- Verify ECS task triggered
- Check processed chunks in embedding-queue
- Validate chunk quality (512 tokens, overlap working)
- Test with various PDF formats",DATATORAG-4,2,Medium,mvp sprint-3 testing
Epic,Embedding & Indexing,"Generate embeddings via SageMaker and index documents in OpenSearch",,10,High,mvp sprint-3
Story,Implement embedder Lambda,"Create etl/embedder/lambda/handler.py:
- Lambda handler (SQS trigger)
- Batch chunks (up to 32 at a time)
- Call SageMaker endpoint via boto3
- Send embeddings to indexing-queue
- Error handling and retry logic",DATATORAG-5,3,High,mvp sprint-3 etl ml
Story,Implement batch processing logic,"Optimize embedding generation:
- Batch chunks for efficiency
- Handle SageMaker throttling
- Implement exponential backoff
- Monitor batch size vs latency tradeoff",DATATORAG-5,2,High,mvp sprint-3 etl
Story,Deploy embedder Lambda via CloudFormation,"Add to 07-etl-lambda-stack.yaml:
- Function: datatorag-embedder
- Memory: 1024 MB
- Timeout: 60s
- SQS trigger (embedding-queue, batch size: 10)
- Environment variables (SageMaker endpoint name)",DATATORAG-5,1,High,mvp sprint-3 infrastructure
Story,Test embedding generation with sample chunks,"Unit and integration testing:
- Test with sample text chunks
- Verify embedding dimension (768)
- Measure latency (<2s per batch)
- Test error handling (SageMaker throttling, timeouts)",DATATORAG-5,1,Medium,mvp sprint-3 testing
Story,Implement indexer Lambda,"Create etl/indexer/lambda/handler.py:
- Lambda handler (SQS trigger)
- opensearch-py client with AWS4Auth
- Bulk index to OpenSearch (batches of 500)
- helpers.bulk for efficient indexing
- Error handling and partial failure recovery",DATATORAG-5,3,High,mvp sprint-3 etl
Story,Implement bulk indexing logic,"Optimize OpenSearch indexing:
- Batch documents (500 per bulk request)
- Handle partial failures
- Retry failed documents
- Monitor indexing throughput",DATATORAG-5,2,High,mvp sprint-3 etl
Story,Deploy indexer Lambda via CloudFormation,"Add to 07-etl-lambda-stack.yaml:
- Function: datatorag-indexer
- Memory: 1024 MB
- Timeout: 60s
- SQS trigger (indexing-queue, batch size: 10)
- Environment variables (OpenSearch endpoint, index name)",DATATORAG-5,1,High,mvp sprint-3 infrastructure
Story,Test full pipeline: FTP → S3 → Process → Embed → Index,"End-to-end integration test:
- Upload 100 sample HR PDFs via FTP
- Monitor full pipeline execution
- Verify all documents indexed in OpenSearch
- Check CloudWatch logs for errors
- Measure total processing time",DATATORAG-5,3,High,mvp sprint-3 testing
Story,Error handling and retry logic for all Lambdas,"Implement robust error handling:
- Exponential backoff for throttling
- Dead letter queue monitoring
- CloudWatch alarms for high error rates
- Logging for debugging
- Partial batch failure handling",DATATORAG-5,2,Medium,mvp sprint-3 reliability
